iter	Passed	Remaining
0	3	3599
1	6	3322
2	9	3109
3	11	2961
4	15	3021
5	18	3124
6	25	3684
7	28	3552
8	31	3462
9	36	3567
10	39	3550
11	42	3498
12	46	3497
13	49	3469
14	52	3443
15	55	3421
16	58	3390
17	62	3419
18	66	3452
19	69	3423
20	73	3423
21	76	3411
22	80	3405
23	84	3455
24	88	3452
25	92	3447
26	95	3432
27	98	3416
28	102	3423
29	105	3408
30	108	3387
31	111	3370
32	114	3343
33	116	3320
34	119	3304
35	122	3279
36	124	3252
37	127	3228
38	130	3204
39	132	3183
40	137	3218
41	144	3291
42	150	3338
43	154	3349
44	159	3391
45	165	3432
46	170	3456
47	175	3475
48	181	3528
49	187	3560
50	192	3583
51	199	3637
52	204	3649
53	207	3639
54	213	3663
55	218	3676
56	223	3704
57	228	3712
58	233	3720
59	238	3729
60	242	3730
61	247	3739
62	251	3739
63	257	3764
64	260	3740
65	265	3751
66	269	3756
67	274	3763
68	278	3759
69	282	3758
70	286	3754
71	291	3757
72	296	3768
73	302	3779
74	308	3802
75	312	3796
76	317	3811
77	323	3821
78	327	3822
79	333	3831
80	337	3833
81	341	3824
82	347	3838
83	354	3863
84	358	3857
85	363	3867
86	368	3864
87	373	3874
88	378	3872
89	384	3885
90	389	3887
91	394	3890
92	399	3894
93	404	3901
94	410	3914
95	415	3909
96	421	3919
97	425	3917
98	430	3919
99	435	3920
100	441	3928
101	446	3931
102	451	3934
103	456	3936
104	461	3934
105	466	3937
106	471	3935
107	476	3934
108	481	3934
109	487	3941
110	491	3938
111	496	3935
112	501	3937
113	506	3937
114	510	3931
115	516	3936
116	521	3932
117	525	3925
118	529	3920
119	532	3903
120	535	3887
121	538	3874
122	541	3859
123	544	3843
124	546	3826
125	549	3811
126	552	3795
127	554	3779
128	557	3764
129	560	3748
130	562	3732
131	565	3717
132	568	3703
133	571	3690
134	573	3675
135	576	3663
136	579	3649
137	581	3635
138	584	3620
139	587	3608
140	590	3594
141	592	3582
142	595	3568
143	598	3555
144	600	3543
145	603	3531
146	606	3517
147	608	3505
148	611	3492
149	614	3479
150	616	3468
151	619	3456
152	622	3444
153	624	3433
154	627	3421
155	630	3410
156	632	3398
157	635	3387
158	640	3389
159	644	3381
160	646	3370
161	649	3360
162	652	3350
163	655	3339
164	657	3328
165	660	3319
166	663	3308
167	666	3302
168	671	3300
169	676	3303
170	680	3301
171	685	3301
172	691	3307
173	696	3307
174	701	3306
175	705	3303
176	710	3303
177	715	3304
178	719	3301
179	724	3300
180	731	3307
181	735	3305
182	740	3304
183	745	3308
184	751	3309
185	756	3308
186	761	3310
187	766	3309
188	771	3310
189	775	3307
190	781	3309
191	786	3308
192	791	3308
193	798	3317
194	803	3315
195	808	3316
196	813	3316
197	818	3317
198	823	3315
199	828	3315
200	835	3319
201	839	3316
202	845	3321
203	850	3317
204	855	3318
205	860	3317
206	869	3330
207	873	3324
208	879	3328
209	884	3328
210	889	3326
211	894	3323
212	899	3323
213	904	3322
214	909	3320
215	914	3319
216	918	3314
217	923	3312
218	928	3310
219	932	3307
220	938	3308
221	943	3306
222	947	3301
223	954	3304
224	958	3302
225	963	3300
226	968	3297
227	974	3300
228	979	3298
229	984	3297
230	990	3297
231	996	3299
232	1001	3297
233	1006	3295
234	1010	3290
235	1016	3290
236	1021	3288
237	1026	3287
238	1031	3285
239	1036	3283
240	1041	3281
241	1046	3277
242	1051	3276
243	1054	3267
244	1057	3257
245	1059	3247
246	1062	3239
247	1065	3231
248	1068	3222
249	1071	3213
250	1074	3205
251	1076	3196
252	1079	3187
253	1082	3179
254	1085	3171
255	1088	3162
256	1091	3154
257	1093	3146
258	1097	3138
259	1099	3129
260	1102	3121
261	1105	3113
262	1110	3111
263	1113	3103
264	1116	3096
265	1119	3088
266	1121	3079
267	1124	3071
268	1127	3063
269	1130	3055
270	1133	3048
271	1135	3040
272	1143	3045
273	1147	3041
274	1150	3033
275	1153	3025
276	1155	3016
277	1158	3009
278	1161	3001
279	1163	2992
280	1166	2984
281	1168	2976
282	1171	2968
283	1174	2961
284	1177	2953
285	1179	2945
286	1183	2939
287	1186	2932
288	1188	2924
289	1192	2918
290	1194	2910
291	1197	2902
292	1199	2895
