iter	Passed	Remaining
0	7	7365
1	13	6817
2	16	5478
3	21	5362
4	30	5981
5	43	7225
6	48	6880
7	58	7310
8	64	7067
9	70	6932
10	77	7004
11	81	6705
12	88	6720
13	93	6575
14	99	6561
15	107	6582
16	111	6433
17	116	6348
18	123	6357
19	126	6197
20	133	6207
21	136	6046
22	138	5903
23	141	5770
24	144	5644
25	147	5528
26	151	5472
27	155	5400
28	158	5299
29	161	5206
30	163	5115
31	167	5056
32	186	5452
33	200	5687
34	215	5935
35	232	6238
36	242	6298
37	246	6243
38	257	6342
39	263	6333
40	268	6278
41	279	6385
42	284	6337
43	289	6291
44	296	6300
45	301	6256
46	306	6217
47	313	6212
48	318	6184
49	324	6171
50	330	6144
51	334	6097
52	338	6042
53	346	6068
54	350	6028
55	353	5966
56	358	5926
57	363	5904
58	367	5864
59	371	5812
60	375	5779
61	381	5777
62	386	5755
63	391	5723
64	399	5743
65	405	5733
66	409	5701
67	414	5684
68	421	5682
69	426	5660
70	430	5628
71	435	5609
72	441	5607
73	446	5581
74	452	5583
75	458	5572
76	464	5563
77	468	5534
78	475	5542
79	484	5566
80	492	5584
81	497	5570
82	504	5571
83	512	5587
84	515	5553
85	519	5520
86	524	5507
87	532	5516
88	537	5505
89	546	5529
90	556	5561
91	564	5574
92	568	5548
93	572	5522
94	581	5540
95	590	5561
96	597	5559
97	602	5541
98	605	5510
99	608	5478
100	613	5464
101	621	5467
102	629	5480
103	632	5449
104	637	5433
105	641	5408
106	647	5402
107	651	5382
108	656	5365
109	660	5346
110	667	5346
111	674	5347
112	677	5317
113	680	5290
114	685	5276
115	691	5269
116	695	5251
117	699	5227
118	703	5207
119	712	5221
120	716	5206
121	724	5215
122	731	5214
123	737	5209
124	740	5181
125	746	5175
126	749	5155
127	755	5149
128	761	5143
129	766	5127
130	771	5120
131	778	5116
132	781	5096
133	788	5092
134	793	5087
135	799	5081
136	807	5089
137	812	5078
138	817	5062
139	820	5038
140	823	5015
141	826	4995
142	832	4986
143	839	4989
144	843	4974
145	846	4953
146	851	4938
147	857	4936
148	865	4940
149	870	4932
150	879	4944
151	887	4949
152	912	5049
153	923	5074
154	937	5111
155	944	5109
156	951	5107
157	957	5104
158	965	5106
159	968	5084
160	972	5065
161	981	5076
162	986	5065
163	996	5080
164	1002	5072
165	1007	5062
166	1014	5059
167	1020	5053
168	1029	5062
169	1035	5055
170	1041	5050
171	1050	5055
172	1054	5040
173	1061	5038
174	1068	5037
175	1074	5029
176	1080	5026
177	1085	5014
178	1097	5034
179	1103	5028
180	1112	5031
181	1119	5033
182	1124	5021
183	1131	5017
184	1137	5009
185	1146	5017
186	1154	5019
187	1163	5025
188	1174	5039
189	1188	5066
190	1199	5080
191	1205	5074
192	1209	5058
193	1216	5055
194	1223	5050
195	1230	5047
196	1236	5039
197	1245	5044
198	1253	5045
199	1259	5037
200	1262	5020
201	1269	5015
202	1276	5013
203	1281	5000
204	1286	4989
205	1294	4990
206	1298	4974
207	1322	5033
208	1329	5032
209	1346	5063
210	1358	5081
211	1371	5097
212	1381	5103
213	1400	5144
214	1416	5171
215	1429	5188
216	1449	5229
217	1456	5226
218	1465	5226
219	1471	5217
220	1477	5209
221	1483	5200
222	1489	5188
223	1493	5174
224	1498	5160
225	1504	5151
226	1510	5143
227	1514	5127
228	1517	5109
229	1524	5102
230	1529	5092
231	1532	5074
232	1538	5064
233	1543	5051
234	1549	5043
235	1552	5026
236	1556	5012
237	1562	5003
238	1566	4988
239	1571	4976
240	1577	4968
241	1582	4956
242	1588	4949
243	1594	4939
244	1597	4921
245	1602	4912
246	1610	4909
247	1617	4903
248	1622	4894
249	1626	4880
250	1634	4878
251	1642	4875
252	1656	4891
253	1665	4890
254	1671	4883
255	1676	4870
256	1680	4857
257	1687	4852
258	1691	4840
259	1695	4826
260	1703	4824
261	1708	4812
262	1714	4805
263	1719	4793
264	1723	4779
265	1731	4778
266	1735	4765
267	1740	4753
268	1746	4744
269	1751	4735
270	1754	4719
271	1761	4714
272	1768	4710
273	1775	4704
274	1779	4690
275	1784	4681
276	1795	4687
277	1807	4693
278	1814	4689
279	1820	4682
280	1835	4696
281	1847	4705
282	1864	4722
283	1891	4767
284	1903	4775
285	1945	4857
286	1964	4879
287	1987	4913
288	2006	4937
289	2035	4983
290	2073	5051
291	2097	5085
292	2126	5130
293	2137	5133
294	2155	5151
295	2163	5146
296	2174	5146
297	2184	5144
298	2187	5127
299	2198	5130
300	2209	5130
301	2212	5114
302	2220	5108
303	2228	5102
304	2235	5094
305	2243	5087
306	2257	5096
307	2271	5104
308	2278	5096
309	2283	5082
310	2288	5070
311	2295	5061
312	2300	5049
313	2305	5035
314	2313	5030
315	2317	5015
316	2323	5005
317	2328	4993
318	2332	4978
319	2337	4967
320	2344	4959
321	2349	4948
322	2355	4936
323	2359	4922
324	2365	4912
325	2370	4900
326	2375	4889
327	2378	4874
328	2383	4861
329	2388	4848
330	2392	4836
331	2396	4821
332	2402	4811
333	2408	4801
334	2411	4787
335	2422	4787
336	2426	4773
337	2436	4771
338	2452	4782
339	2461	4778
340	2471	4777
341	2488	4788
342	2493	4776
343	2498	4764
344	2503	4753
345	2508	4740
346	2511	4726
347	2524	4729
348	2530	4720
349	2536	4710
350	2539	4695
351	2550	4695
352	2555	4683
353	2560	4672
354	2566	4663
355	2570	4650
356	2577	4642
357	2583	4633
358	2592	4628
359	2597	4618
360	2604	4609
361	2618	4615
362	2621	4600
363	2625	4587
364	2631	4578
365	2636	4567
366	2640	4554
367	2646	4545
368	2654	4538
369	2660	4530
370	2666	4520
371	2671	4510
372	2677	4500
373	2681	4488
374	2686	4477
375	2693	4470
376	2699	4460
377	2705	4451
378	2709	4439
379	2713	4427
380	2719	4418
381	2727	4412
382	2733	4404
383	2737	4390
384	2741	4380
385	2751	4376
386	2756	4365
387	2760	4354
388	2767	4346
389	2771	4334
390	2775	4322
391	2780	4312
392	2783	4299
393	2788	4288
394	2793	4277
395	2798	4268
396	2801	4255
397	2807	4247
398	2813	4237
399	2817	4225
400	2826	4222
401	2831	4212
402	2839	4206
403	2845	4198
404	2851	4189
405	2859	4183
406	2865	4175
407	2872	4167
408	2876	4156
409	2881	4146
410	2887	4138
411	2895	4132
412	2899	4120
413	2907	4114
414	2912	4105
415	2920	4099
416	2925	4090
417	2929	4079
418	2935	4070
419	2939	4059
420	2945	4051
421	2950	4041
422	2954	4030
423	2957	4017
424	2963	4009
425	2982	4018
426	2991	4014
427	2996	4004
428	3001	3994
429	3008	3988
430	3017	3984
431	3025	3978
432	3031	3969
433	3034	3957
434	3043	3953
435	3052	3948
436	3064	3948
437	3080	3952
438	3084	3941
439	3087	3930
440	3094	3922
441	3098	3911
442	3101	3900
443	3105	3889
444	3110	3879
445	3115	3869
446	3119	3859
447	3123	3849
448	3130	3842
449	3136	3833
450	3142	3825
451	3148	3817
452	3151	3806
453	3156	3796
454	3161	3786
455	3165	3776
456	3171	3768
457	3175	3758
458	3180	3748
459	3183	3736
460	3186	3725
461	3192	3717
462	3199	3710
463	3202	3699
464	3208	3691
465	3216	3685
466	3219	3674
467	3225	3666
468	3231	3658
469	3235	3648
470	3239	3638
471	3245	3630
472	3251	3622
473	3257	3615
474	3265	3608
475	3273	3603
476	3277	3593
477	3280	3582
478	3283	3571
479	3293	3567
480	3297	3557
481	3300	3547
482	3307	3540
483	3313	3532
484	3316	3521
485	3323	3514
486	3330	3508
487	3346	3511
488	3358	3509
489	3373	3511
490	3386	3510
491	3402	3512
492	3411	3508
493	3415	3498
494	3422	3491
495	3426	3481
496	3430	3472
497	3435	3462
498	3441	3454
499	3444	3444
500	3450	3437
501	3456	3429
502	3461	3419
503	3466	3411
504	3475	3406
505	3480	3398
506	3485	3389
507	3493	3383
508	3498	3374
509	3504	3367
510	3510	3359
511	3513	3348
512	3520	3341
513	3525	3333
514	3528	3323
515	3534	3315
516	3541	3308
517	3544	3297
518	3552	3292
519	3555	3282
520	3561	3274
521	3567	3266
522	3571	3257
523	3575	3248
524	3582	3241
525	3586	3232
526	3591	3223
527	3596	3215
528	3601	3206
529	3607	3198
530	3610	3188
531	3615	3180
532	3619	3171
533	3624	3162
534	3629	3154
535	3634	3146
536	3638	3137
537	3642	3127
538	3648	3120
539	3653	3112
540	3660	3105
541	3666	3097
542	3672	3090
543	3675	3080
544	3682	3074
545	3687	3066
546	3690	3056
547	3696	3048
548	3700	3039
549	3705	3032
550	3720	3032
551	3726	3024
552	3733	3018
553	3742	3012
554	3751	3007
555	3754	2998
556	3762	2992
557	3767	2984
558	3770	2974
559	3775	2966
560	3780	2958
561	3786	2950
562	3794	2945
563	3800	2938
564	3808	2931
565	3812	2923
566	3818	2915
567	3827	2911
568	3832	2902
569	3838	2895
570	3846	2890
571	3849	2880
572	3858	2875
573	3865	2868
574	3878	2866
575	3881	2857
576	3887	2849
577	3892	2841
578	3896	2833
579	3902	2825
580	3906	2817
581	3912	2810
582	3919	2803
583	3926	2796
584	3931	2789
585	3937	2781
586	3946	2776
587	3955	2771
588	3958	2762
589	3962	2753
590	3969	2746
591	3974	2738
592	3978	2730
593	3984	2723
594	3990	2716
595	3996	2709
596	4001	2701
597	4005	2692
598	4009	2684
599	4015	2677
600	4022	2670
601	4030	2664
602	4034	2656
603	4037	2647
604	4045	2641
605	4050	2633
606	4055	2625
607	4060	2617
608	4065	2610
609	4070	2602
610	4079	2597
611	4085	2590
612	4089	2581
613	4097	2576
614	4101	2567
615	4104	2558
616	4108	2550
617	4116	2544
618	4119	2535
619	4124	2527
620	4132	2521
621	4135	2513
622	4140	2505
623	4145	2498
624	4152	2491
625	4163	2487
626	4166	2478
627	4169	2469
628	4174	2462
629	4178	2454
630	4181	2445
631	4188	2438
632	4195	2432
633	4198	2424
634	4206	2417
635	4212	2410
636	4215	2402
637	4220	2394
638	4225	2387
639	4234	2381
640	4244	2376
641	4254	2372
642	4259	2365
643	4262	2356
644	4267	2348
645	4272	2341
646	4277	2333
647	4281	2325
648	4287	2318
649	4292	2311
650	4299	2304
651	4303	2296
652	4307	2289
653	4311	2281
654	4318	2274
655	4323	2267
656	4330	2260
657	4334	2252
658	4339	2245
659	4345	2238
660	4350	2231
661	4354	2223
662	4359	2216
663	4365	2208
664	4369	2201
665	4377	2195
666	4383	2188
667	4392	2182
668	4398	2176
669	4404	2169
670	4416	2165
671	4431	2163
672	4435	2155
673	4441	2148
674	4447	2141
675	4452	2134
676	4459	2127
677	4463	2119
678	4469	2113
679	4473	2105
680	4477	2097
681	4484	2090
682	4495	2086
683	4506	2081
684	4525	2081
685	4531	2074
686	4536	2066
687	4544	2060
688	4554	2055
689	4558	2047
690	4564	2041
691	4572	2034
692	4574	2026
693	4580	2019
694	4585	2012
695	4589	2004
696	4596	1998
697	4602	1991
698	4607	1984
699	4613	1977
700	4617	1969
701	4620	1961
702	4623	1953
703	4629	1946
704	4634	1939
705	4638	1931
706	4643	1924
707	4648	1917
708	4653	1909
709	4656	1902
710	4663	1895
711	4669	1888
712	4675	1881
713	4680	1874
714	4684	1867
715	4689	1860
716	4695	1853
717	4699	1845
718	4702	1837
719	4708	1831
720	4713	1824
721	4716	1816
722	4719	1808
723	4724	1800
724	4729	1793
725	4734	1786
726	4737	1778
727	4741	1771
728	4747	1764
729	4752	1757
730	4758	1751
731	4763	1744
732	4769	1737
733	4774	1730
734	4780	1723
735	4783	1715
736	4789	1709
737	4794	1701
738	4802	1696
739	4809	1689
740	4813	1682
741	4820	1675
742	4827	1669
743	4830	1662
744	4835	1655
745	4841	1648
746	4844	1640
747	4847	1633
748	4851	1625
749	4858	1619
750	4862	1612
751	4868	1605
752	4874	1598
753	4878	1591
754	4885	1585
755	4891	1578
756	4894	1571
757	4898	1563
758	4901	1556
759	4907	1549
760	4912	1542
761	4917	1535
762	4920	1528
763	4925	1521
764	4929	1514
765	4932	1506
766	4936	1499
767	4941	1492
768	4944	1485
769	4949	1478
770	4954	1471
771	4958	1464
772	4962	1457
773	4967	1450
774	4973	1443
775	4978	1437
776	4984	1430
777	4988	1423
778	4992	1416
779	4998	1409
780	5002	1402
781	5008	1396
782	5013	1389
783	5017	1382
784	5021	1375
785	5027	1368
786	5032	1362
787	5037	1355
788	5041	1348
789	5048	1342
790	5053	1335
791	5056	1328
792	5062	1321
793	5066	1314
794	5071	1307
795	5076	1300
796	5080	1294
797	5085	1287
798	5091	1280
799	5097	1274
800	5102	1267
801	5105	1260
802	5111	1253
803	5114	1246
804	5120	1240
805	5126	1233
806	5129	1226
807	5134	1220
808	5139	1213
809	5145	1207
810	5151	1200
811	5158	1194
812	5162	1187
813	5169	1181
814	5175	1174
815	5181	1168
816	5192	1163
817	5197	1156
818	5200	1149
819	5208	1143
820	5212	1136
821	5216	1129
822	5224	1123
823	5228	1116
824	5232	1109
825	5238	1103
826	5242	1096
827	5254	1091
828	5259	1084
829	5278	1081
830	5290	1075
831	5302	1070
832	5307	1064
833	5310	1057
834	5317	1050
835	5323	1044
836	5328	1037
837	5332	1030
838	5336	1024
839	5339	1017
840	5344	1010
841	5351	1004
842	5356	997
843	5365	991
844	5371	985
845	5376	978
846	5383	972
847	5386	965
848	5391	958
849	5397	952
850	5401	945
851	5407	939
852	5413	933
853	5418	926
854	5422	919
855	5428	913
856	5434	906
857	5439	900
858	5447	894
859	5451	887
860	5460	881
861	5467	875
862	5473	868
863	5483	863
864	5493	857
865	5499	851
866	5506	844
867	5515	838
868	5520	832
869	5532	826
870	5538	820
871	5544	813
872	5548	807
873	5554	800
874	5561	794
875	5566	787
876	5573	781
877	5578	775
878	5582	768
879	5589	762
880	5595	755
881	5599	749
882	5607	742
883	5612	736
884	5615	729
885	5622	723
886	5629	717
887	5635	710
888	5640	704
889	5644	697
890	5648	690
891	5656	684
892	5661	678
893	5667	671
894	5673	665
895	5677	658
896	5681	652
897	5686	645
898	5690	639
899	5695	632
900	5699	626
901	5705	619
902	5710	613
903	5715	606
904	5720	600
905	5723	593
906	5728	587
907	5733	580
908	5737	574
909	5743	568
910	5749	561
911	5753	555
912	5759	548
913	5764	542
914	5769	535
915	5773	529
916	5778	523
917	5783	516
918	5788	510
919	5791	503
